ds,holiday,country,year
01/01/2023,Neujahr,DE,2023
07/04/2023,Karfreitag,DE,2023
10/04/2023,Ostermontag,DE,2023
01/05/2023,Erster Mai,DE,2023
18/05/2023,Christi Himmelfahrt,DE,2023
29/05/2023,Pfingstmontag,DE,2023
03/10/2023,Tag der Deutschen Einheit,DE,2023
01/01/1995,Jour de l'an,FR,1995
17/04/1995,Lundi de Paques,FR,1995
01/05/1995,Fete du Travail,FR,1995
08/05/1995,Armistice 1945,FR,1995
25/05/1995,Ascension,FR,1995
05/06/1995,Lundi de Pentecote,FR,1995
14/07/1995,Fete nationale,FR,1995
15/08/1995,Assomption,FR,1995
01/11/1995,Toussaint,FR,1995
11/11/1995,Armistice 1918,FR,1995
01/01/1996,Jour de l'an,FR,1996
08/04/1996,Lundi de Paques,FR,1996
01/05/1996,Fete du Travail,FR,1996
08/05/1996,Armistice 1945,FR,1996
16/05/1996,Ascension,FR,1996
27/05/1996,Lundi de Pentecote,FR,1996
14/07/1996,Fete nationale,FR,1996
15/08/1996,Assomption,FR,1996
01/11/1996,Toussaint,FR,1996
11/11/1996,Armistice 1918,FR,1996
01/01/1997,Jour de l'an,FR,1997
31/03/1997,Lundi de Paques,FR,1997
01/05/1997,Fete du Travail,FR,1997
08/05/1997,Armistice 1945,FR,1997
08/05/1997,Ascension,FR,1997
19/05/1997,Lundi de Pentecote,FR,1997
14/07/1997,Fete nationale,FR,1997
15/08/1997,Assomption,FR,1997
01/11/1997,Toussaint,FR,1997
11/11/1997,Armistice 1918,FR,1997
01/01/1998,Jour de l'an,FR,1998
13/04/1998,Lundi de Paques,FR,1998
01/05/1998,Fete du Travail,FR,1998
08/05/1998,Armistice 1945,FR,1998
21/05/1998,Ascension,FR,1998
01/06/1998,Lundi de Pentecote,FR,1998
14/07/1998,Fete nationale,FR,1998
15/08/1998,Assomption,FR,1998
01/11/1998,Toussaint,FR,1998
11/11/1998,Armistice 1918,FR,1998
01/01/1999,Jour de l'an,FR,1999
05/04/1999,Lundi de Paques,FR,1999
01/05/1999,Fete du Travail,FR,1999
08/05/1999,Armistice 1945,FR,1999
13/05/1999,Ascension,FR,1999
24/05/1999,Lundi de Pentecote,FR,1999
14/07/1999,Fete nationale,FR,1999
15/08/1999,Assomption,FR,1999
01/11/1999,Toussaint,FR,1999
11/11/1999,Armistice 1918,FR,1999
01/01/2000,Jour de l'an,FR,2000
24/04/2000,Lundi de Paques,FR,2000
01/05/2000,Fete du Travail,FR,2000
08/05/2000,Armistice 1945,FR,2000
01/06/2000,Ascension,FR,2000
12/06/2000,Lundi de Pentecote,FR,2000
14/07/2000,Fete nationale,FR,2000
15/08/2000,Assomption,FR,2000
01/11/2000,Toussaint,FR,2000
11/11/2000,Armistice 1918,FR,2000
01/01/2001,Jour de l'an,FR,2001
16/04/2001,Lundi de Paques,FR,2001
01/05/2001,Fete du Travail,FR,2001
08/05/2001,Armistice 1945,FR,2001
24/05/2001,Ascension,FR,2001
04/06/2001,Lundi de Pentecote,FR,2001
14/07/2001,Fete nationale,FR,2001
15/08/2001,Assomption,FR,2001
01/11/2001,Toussaint,FR,2001
11/11/2001,Armistice 1918,FR,2001
01/01/2002,Jour de l'an,FR,2002
01/04/2002,Lundi de Paques,FR,2002
01/05/2002,Fete du Travail,FR,2002
08/05/2002,Armistice 1945,FR,2002
09/05/2002,Ascension,FR,2002
20/05/2002,Lundi de Pentecote,FR,2002
14/07/2002,Fete nationale,FR,2002
15/08/2002,Assomption,FR,2002
01/11/2002,Toussaint,FR,2002
11/11/2002,Armistice 1918,FR,2002
01/01/2003,Jour de l'an,FR,2003
21/04/2003,Lundi de Paques,FR,2003
01/05/2003,Fete du Travail,FR,2003
08/05/2003,Armistice 1945,FR,2003
29/05/2003,Ascension,FR,2003
09/06/2003,Lundi de Pentecote,FR,2003
14/07/2003,Fete nationale,FR,2003
15/08/2003,Assomption,FR,2003
01/11/2003,Toussaint,FR,2003
11/11/2003,Armistice 1918,FR,2003
01/01/2004,Jour de l'an,FR,2004
12/04/2004,Lundi de Paques,FR,2004
01/05/2004,Fete du Travail,FR,2004
08/05/2004,Armistice 1945,FR,2004
20/05/2004,Ascension,FR,2004
31/05/2004,Lundi de Pentecote,FR,2004
14/07/2004,Fete nationale,FR,2004
15/08/2004,Assomption,FR,2004
01/11/2004,Toussaint,FR,2004
11/11/2004,Armistice 1918,FR,2004
01/01/2005,Jour de l'an,FR,2005
28/03/2005,Lundi de Paques,FR,2005
01/05/2005,Fete du Travail,FR,2005
05/05/2005,Ascension,FR,2005
08/05/2005,Armistice 1945,FR,2005
16/05/2005,Lundi de Pentecote,FR,2005
14/07/2005,Fete nationale,FR,2005
15/08/2005,Assomption,FR,2005
01/11/2005,Toussaint,FR,2005
11/11/2005,Armistice 1918,FR,2005
01/01/2006,Jour de l'an,FR,2006
17/04/2006,Lundi de Paques,FR,2006
01/05/2006,Fete du Travail,FR,2006
08/05/2006,Armistice 1945,FR,2006
25/05/2006,Ascension,FR,2006
05/06/2006,Lundi de Pentecote,FR,2006
14/07/2006,Fete nationale,FR,2006
15/08/2006,Assomption,FR,2006
01/11/2006,Toussaint,FR,2006
